Surface,Facet,Miller Indices,Database Source
Re6V6,fcc,111,Catalysis-hub
Re6W6,fcc,111,Catalysis-hub
Re6Y6,fcc,111,Catalysis-hub
Re6Zn6,fcc,111,Catalysis-hub
Re6Zr6,fcc,111,Catalysis-hub
Rh6Ru6,fcc,111,Catalysis-hub
Rh6Sc6,fcc,111,Catalysis-hub
Rh6Ta6,fcc,111,Catalysis-hub
Rh6Tc6,fcc,111,Catalysis-hub
Rh6Ti6,fcc,111,Catalysis-hub
Rh6V6,fcc,111,Catalysis-hub
Rh6W6,fcc,111,Catalysis-hub
Rh6Y6,fcc,111,Catalysis-hub
Rh6Zn6,fcc,111,Catalysis-hub
Rh6Zr6,fcc,111,Catalysis-hub
Ru6Sc6,fcc,111,Catalysis-hub
Ru6Ta6,fcc,111,Catalysis-hub
Ru6Tc6,fcc,111,Catalysis-hub
Ru6Ti6,fcc,111,Catalysis-hub
Ru6V6,fcc,111,Catalysis-hub
Ru6W6,fcc,111,Catalysis-hub
Ru6Y6,fcc,111,Catalysis-hub
Ru6Zn6,fcc,111,Catalysis-hub
Ru6Zr6,fcc,111,Catalysis-hub
Sc6Ta6,fcc,111,Catalysis-hub
Sc6Tc6,fcc,111,Catalysis-hub
Sc6Ti6,fcc,111,Catalysis-hub
Sc6V6,fcc,111,Catalysis-hub
Sc6W6,fcc,111,Catalysis-hub
Sc6Y6,fcc,111,Catalysis-hub
Sc6Zn6,fcc,111,Catalysis-hub
Sc6Zr6,fcc,111,Catalysis-hub
Ta6Tc6,fcc,111,Catalysis-hub
Ta6Ti6,fcc,111,Catalysis-hub
Ta6V6,fcc,111,Catalysis-hub
Ta6W6,fcc,111,Catalysis-hub
Ta6Y6,fcc,111,Catalysis-hub
Ta6Zn6,fcc,111,Catalysis-hub
Ta6Zr6,fcc,111,Catalysis-hub
Tc6Ti6,fcc,111,Catalysis-hub
Tc6V6,fcc,111,Catalysis-hub
Tc6W6,fcc,111,Catalysis-hub
Tc6Y6,fcc,111,Catalysis-hub
Tc6Zn6,fcc,111,Catalysis-hub
Tc6Zr6,fcc,111,Catalysis-hub
Ti6V6,fcc,111,Catalysis-hub
Ti6W6,fcc,111,Catalysis-hub
Ti6Y6,fcc,111,Catalysis-hub
Ti6Zn6,fcc,111,Catalysis-hub
Ti6Zr6,fcc,111,Catalysis-hub
V6W6,fcc,111,Catalysis-hub
V6Zn6,fcc,111,Catalysis-hub
V6Zr6,fcc,111,Catalysis-hub
W6Y6,fcc,111,Catalysis-hub
W6Zn6,fcc,111,Catalysis-hub
W6Zr6,fcc,111,Catalysis-hub
Y6Zn6,fcc,111,Catalysis-hub
Y6Zr6,fcc,111,Catalysis-hub
Zn6Zr6,fcc,111,Catalysis-hub
Au6Hg6,fcc,111,Catalysis-hub
Cu6Hg6,fcc,111,Catalysis-hub
Hg6Mn6,fcc,111,Catalysis-hub
Hg6Mo6,fcc,111,Catalysis-hub
Hg6Pt6,fcc,111,Catalysis-hub
Ir6Zr6,fcc,111,Catalysis-hub
Cr6Y6,fcc,111,Catalysis-hub
Hg6V6,fcc,111,Catalysis-hub
Hg6W6,fcc,111,Catalysis-hub
